,-1000,-900,-800,-700,-600,-500,-400,-300,-200,-100,0,100,200,300,400,500,600,700,800,900,1000
-1000,115557.28395970385,105729.35352290385,97160.92552290385,90839.24228071439,85774.00447795464,80993.90516432846,77333.07586567948,76831.9050028043,77450.17104994571,78167.80505426225,78984.70005352018,79864.18961143405,80619.37397722057,81043.5848416553,81276.0953227015,81475.99532270149,81655.91532270149,81775.8953227015,81875.8953227015,81975.8953227015,82075.8953227015
-900,113057.28395970385,103229.35352290385,94660.92552290385,88314.27352290385,83155.4262807144,78274.00447795464,74513.90516432846,73913.07586567948,74431.9050028043,75050.17104994571,75767.80505426225,76584.70005352018,77464.18961143405,78219.37397722057,78643.5848416553,78876.0953227015,79056.0153227015,79175.99532270149,79275.99532270149,79375.99532270149,79475.99532270149
-800,110557.28395970385,100729.35352290385,92160.92552290385,85814.27352290385,80630.45752290385,75655.4262807144,71794.00447795464,71093.90516432846,71513.07586567948,72031.9050028043,72650.17104994571,73367.80505426225,74184.70005352018,75064.18961143405,75819.37397722057,76243.5848416553,76456.11532270149,76576.0953227015,76676.0953227015,76776.0953227015,76876.0953227015
-700,108057.28395970385,98229.35352290385,89660.92552290385,83314.27352290385,78130.45752290385,73130.45752290385,69175.4262807144,68374.00447795464,68693.90516432846,69113.07586567948,69631.9050028043,70250.17104994571,70967.80505426225,71784.70005352018,72664.18961143405,73419.37397722057,73823.60484165531,73976.19532270149,74076.19532270149,74176.19532270149,74276.19532270149
-600,105557.28395970385,95729.35352290385,87160.92552290385,80814.27352290385,75630.45752290385,70630.45752290385,66650.45752290385,65755.4262807144,65974.00447795464,66293.90516432846,66713.07586567948,67231.9050028043,67850.17104994571,68567.80505426225,69384.70005352018,70264.18961143405,70966.78349617441,71213.2429174706,71313.2429174706,71413.2429174706,71513.2429174706
-500,103057.28395970385,93229.35352290385,84660.92552290385,78314.27352290385,73130.45752290385,68130.45752290385,64150.457522903846,63230.457522903846,63355.4262807144,63574.00447795464,63893.90516432847,64313.07586567947,64831.905002804306,65450.17104994571,66167.80505426225,66984.70005352018,67717.73019013785,67980.94581098958,68080.94581098958,68180.94581098958,68280.94581098958
-400,103057.28395970385,93229.35352290385,84660.92552290385,78314.27352290385,73130.45752290385,68130.45752290385,64150.457522903846,63230.457522903846,63230.457522903846,63355.4262807144,63574.00447795464,63893.90516432847,64313.07586567947,64831.905002804306,65450.17104994571,66167.80505426225,66984.70005352018,67717.73019013785,67980.94581098958,68080.94581098958,68180.94581098958
-300,103057.28395970385,93229.35352290385,84660.92552290385,78314.27352290385,73130.45752290385,68130.45752290385,64150.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63355.4262807144,63574.00447795464,63893.90516432847,64313.07586567947,64831.905002804306,65450.17104994571,66167.80505426225,66984.70005352018,67717.73019013785,67980.94581098958,68080.94581098958
-200,103057.28395970385,93229.35352290385,84660.92552290385,78314.27352290385,73130.45752290385,68130.45752290385,64150.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63355.4262807144,63574.00447795464,63893.90516432847,64313.07586567947,64831.905002804306,65450.17104994571,66167.80505426225,66984.70005352018,67717.73019013785,67980.94581098958
-100,103057.28395970385,93229.35352290385,84660.92552290385,78314.27352290385,73130.45752290385,68130.45752290385,64150.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63230.457522903846,63355.4262807144,63574.00447795464,63893.90516432847,64313.07586567947,64831.905002804306,65450.17104994571,66167.80505426225,66984.70005352018,67717.73019013785
