,-1000,-900,-800,-700,-600,-500,-400,-300,-200,-100,0,100,200,300,400,500,600,700,800,900,1000
0,221571.07562775607,214599.07231728386,201961.11046146712,188547.20630019487,176959.3967041949,166561.1943101949,156691.30787139488,148072.92987139488,141686.31787139486,136492.51187139488,131442.51187139488,127412.51187139486,126442.51187139486,126504.99625030014,126614.28534892027,126836.72007101247,127155.59452030809,127574.95943205741,128093.67780630363,128711.90937702433,129429.48990022401
100,214599.07231728386,201961.11046146712,188547.20630019487,176959.3967041949,166561.1943101949,156691.30787139488,148072.92987139488,141686.31787139486,136492.51187139488,131442.51187139488,127412.51187139486,126442.51187139486,126442.51187139486,126504.99625030014,126676.76972782555,126946.00916963258,127315.54486349502,127784.54478273293,128353.09237486606,129021.04240059503,129788.30690238228
200,201961.11046146712,188547.20630019487,176959.3967041949,166561.1943101949,156691.30787139488,148072.92987139488,141686.31787139486,136492.51187139488,131442.51187139488,127412.51187139486,126442.51187139486,126442.51187139486,126442.51187139486,126567.48062920541,126786.05882644566,127105.9595128195,127525.13021417051,128043.95935129531,128662.22539843674,129379.85940275331,130196.75440201124
300,188547.20630019487,176959.3967041949,166561.1943101949,156691.30787139488,148072.92987139488,141686.31787139486,136492.51187139488,131442.51187139488,127412.51187139486,126442.51187139486,126442.51187139486,126442.51187139486,126504.99625030014,126676.76972782555,126946.00916963258,127315.54486349502,127784.54478273293,128353.09237486606,129021.04240059503,129788.30690238228,130654.78373006526
400,176959.3967041949,166561.1943101949,156691.30787139488,148072.92987139488,141686.31787139486,136492.51187139488,131442.51187139488,127412.51187139486,126442.51187139486,126442.51187139486,126442.51187139486,126504.99625030014,126614.28534892027,126836.72007101247,127155.59452030809,127574.95943205741,128093.67780630363,128711.90937702433,129429.48990022401,130246.33623043631,131162.3450768054
500,166561.1943101949,156691.30787139488,148072.92987139488,141686.31787139486,136492.51187139488,131442.51187139488,127412.51187139486,126442.51187139486,126442.51187139486,126442.51187139486,126504.99625030014,126614.28534892027,126774.23569210718,127046.30542168797,127415.00908887052,127884.09245562812,128452.49480846191,129120.35687665328,129887.51922827802,130753.8975771764,131719.3889795562
600,166561.1943101949,156691.30787139488,148072.92987139488,141686.31787139486,136492.51187139488,131442.51187139488,127412.51187139486,126442.51187139486,126442.51187139486,126504.99625030014,126614.28534892027,126774.23569210718,126983.8210427827,127305.71999025036,127724.14211244119,128242.9094577864,128860.94230809087,129578.3862047073,130395.08057501813,131310.94147992728,132325.86595079783
700,166561.1943101949,156691.30787139488,148072.92987139488,141686.31787139486,136492.51187139488,131442.51187139488,127412.51187139486,126442.51187139486,126504.99625030014,126614.28534892027,126774.23569210718,126983.8210427827,127243.2356113451,127614.85301382109,128082.95911459948,128651.35695741538,129318.9716361449,130085.94755144745,130952.12447776899,131917.41845116887,132981.72657105754
800,166561.1943101949,156691.30787139488,148072.92987139488,141686.31787139486,136492.51187139488,131442.51187139488,127412.51187139486,126504.99625030014,126614.28534892027,126774.23569210718,126983.8210427827,127243.2356113451,127552.36863491582,127973.67001597937,128491.40661422846,129109.38628546939,129826.53298288501,130642.99145419827,131558.60144901054,132573.27907142858,133686.9214656311
900,166561.1943101949,156691.30787139488,148072.92987139488,141686.31787139486,136492.51187139488,131442.51187139488,127474.99625030014,126614.28534892027,126774.23569210718,126983.8210427827,127243.2356113451,127552.36863491582,127911.1856370741,128382.11751560832,128949.43594228246,129616.94763220953,130383.57688563588,131249.4684254399,132214.46206927032,133278.47396600212,134441.40131033902
1000,166561.1943101949,156691.30787139488,148072.92987139488,141686.31787139486,136492.51187139488,131504.99625030014,127584.28534892027,126774.23569210718,126983.8210427827,127243.2356113451,127552.36863491582,127911.1856370741,128319.63313670305,128840.14684366235,129456.99728902259,130173.99153496035,130990.05385687745,131905.32904569956,132919.65696384382,134032.95381071005,135245.11683002624
