,-1000,-900,-800,-700,-600,-500,-400,-300,-200,-100,0,100,200,300,400,500,600,700,800,900,1000
0,209114.73956133146,195177.67926686723,169926.98573907453,143116.90215381025,119937.29095781027,99144.88816381028,79439.88168501027,62225.10368501027,49439.89168501027,39046.28568501027,28996.28568501027,20966.28568501027,18996.28568501027,19058.77006391554,19168.059162535665,19390.493884627856,19709.368333923485,20128.73324567282,20647.451619919033,21265.68319063973,21983.263713839402
100,195177.67926686723,169926.98573907453,143116.90215381025,119937.29095781027,99144.88816381028,79439.88168501027,62225.10368501027,49439.89168501027,39046.28568501027,28996.28568501027,20966.28568501027,18996.28568501027,18996.28568501027,19058.77006391554,19230.543541440937,19499.782983247977,19869.318677110405,20338.31859634833,20906.86618848145,21574.816214210434,22342.080715997676
200,169926.98573907453,143116.90215381025,119937.29095781027,99144.88816381028,79439.88168501027,62225.10368501027,49439.89168501027,39046.28568501027,28996.28568501027,20966.28568501027,18996.28568501027,18996.28568501027,18996.28568501027,19121.254442820817,19339.832640061057,19659.7333264349,20078.904027785913,20597.733164910747,21215.99921205216,21933.633216368708,22750.52821562664
300,143116.90215381025,119937.29095781027,99144.88816381028,79439.88168501027,62225.10368501027,49439.89168501027,39046.28568501027,28996.28568501027,20966.28568501027,18996.28568501027,18996.28568501027,18996.28568501027,19058.77006391554,19230.543541440937,19499.782983247977,19869.318677110405,20338.31859634833,20906.86618848145,21574.816214210434,22342.080715997676,23208.557543680654
400,119937.29095781027,99144.88816381028,79439.88168501027,62225.10368501027,49439.89168501027,39046.28568501027,28996.28568501027,20966.28568501027,18996.28568501027,18996.28568501027,18996.28568501027,19058.77006391554,19168.059162535665,19390.493884627856,19709.368333923485,20128.73324567282,20647.451619919033,21265.68319063973,21983.263713839402,22800.110044051693,23716.118890420777
500,99144.88816381028,79439.88168501027,62225.10368501027,49439.89168501027,39046.28568501027,28996.28568501027,20966.28568501027,18996.28568501027,18996.28568501027,18996.28568501027,19058.77006391554,19168.059162535665,19328.00950572258,19600.079235303365,19968.782902485902,20437.86626924353,21006.26862207731,21674.130690268696,22441.293041893412,23307.67139079181,24273.16279317161
600,99144.88816381028,79439.88168501027,62225.10368501027,49439.89168501027,39046.28568501027,28996.28568501027,20966.28568501027,18996.28568501027,18996.28568501027,19058.77006391554,19168.059162535665,19328.00950572258,19537.59485639809,19859.49380386578,20277.915926056605,20796.683271401806,21414.71612170628,22132.16001832271,22948.854388633532,23864.71529354265,24879.639764413216
700,99144.88816381028,79439.88168501027,62225.10368501027,49439.89168501027,39046.28568501027,28996.28568501027,20966.28568501027,18996.28568501027,19058.77006391554,19168.059162535665,19328.00950572258,19537.59485639809,19797.009424960506,20168.626827436485,20636.732928214882,21205.130771030766,21872.74544976029,22639.72136506283,23505.898291384376,24471.19226478425,25535.50038467294
800,99144.88816381028,79439.88168501027,62225.10368501027,49439.89168501027,39046.28568501027,28996.28568501027,20966.28568501027,19058.77006391554,19168.059162535665,19328.00950572258,19537.59485639809,19797.009424960506,20106.142448531213,20527.44382959476,21045.180427843843,21663.16009908478,22380.30679650041,23196.765267813662,24112.375262625974,25127.05288504398,26240.695279246494
900,99144.88816381028,79439.88168501027,62225.10368501027,49439.89168501027,39046.28568501027,28996.28568501027,21028.77006391554,19168.059162535665,19328.00950572258,19537.59485639809,19797.009424960506,20106.142448531213,20464.959450689486,20935.891329223723,21503.209755897864,22170.721445824904,22937.350699251256,23803.242239055275,24768.235882885703,25832.247779617523,26995.17512395441
1000,99144.88816381028,79439.88168501027,62225.10368501027,49439.89168501027,39046.28568501027,29058.77006391554,21138.059162535665,19328.00950572258,19537.59485639809,19797.009424960506,20106.142448531213,20464.959450689486,20873.40695031845,21393.92065727774,22010.771102637984,22727.76534857574,23543.82767049285,24459.10285931499,25473.43077745925,26586.727624325442,27798.89064364164
